"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Query a single character by ID returns the expected entity","352","shouldGetSingleCharacterById()","","2026-05-17","passed","2026-05-17","","api.tests.GraphQlTest","api.tests.GraphQlTest","shouldGetSingleCharacterById"
"GET /booking/{id} returns the booking that was created in set up","1145","shouldGetBookingById()","","2026-05-17","failed","2026-05-17","","api.tests.BookingApiTest","api.tests.BookingApiTest","shouldGetBookingById"
"Add a new record and verify it appears in the table","2640","shouldAddNewRecordSuccessfully()","","2026-05-17","passed","2026-05-17","","ui.tests.WebTableTest","ui.tests.WebTableTest","shouldAddNewRecordSuccessfully"
"Book retrieved via API should appear in the Book Store UI","2164","shouldVerifyApiBookAppearsInUI()","","2026-05-17","passed","2026-05-17","","integration.ApiUiIntegrationTest","integration.ApiUiIntegrationTest","shouldVerifyApiBookAppearsInUI"
"Response body contains all required fields with correct types","1117","shouldValidateResponseSchema()","","2026-05-17","failed","2026-05-17","","api.tests.BookingApiTest","api.tests.BookingApiTest","shouldValidateResponseSchema"
"POST /booking without required fields should return 4xx or 500","383","shouldFailCreateWithMissingRequiredFields()","","2026-05-17","passed","2026-05-17","","api.tests.BookingApiTest","api.tests.BookingApiTest","shouldFailCreateWithMissingRequiredFields"
"Submitted form data should be visible in the success modal table","3519","shouldVerifySubmittedDataInModal()","","2026-05-17","failed","2026-05-17","","ui.tests.FormTest","ui.tests.FormTest","shouldVerifySubmittedDataInModal"
"Valid credentials should return an auth token","497","authWithValidCredentials()","","2026-05-17","passed","2026-05-17","","api.tests.AuthenticationTest","api.tests.AuthenticationTest","authWithValidCredentials"
"Edit an existing record and verify the change is saved","3451","shouldEditExistingRecord()","","2026-05-17","passed","2026-05-17","","ui.tests.WebTableTest","ui.tests.WebTableTest","shouldEditExistingRecord"
"DELETE /booking/{id} with valid token returns 201 and booking is then 404","1044","shouldDeleteBookingWithToken()","","2026-05-17","failed","2026-05-17","","api.tests.BookingApiTest","api.tests.BookingApiTest","shouldDeleteBookingWithToken"
"Search functionality filters the table to show only matching rows","2080","shouldSearchAndFilterRecords()","","2026-05-17","passed","2026-05-17","","ui.tests.WebTableTest","ui.tests.WebTableTest","shouldSearchAndFilterRecords"
"Query a paginated list — characters(page:1) should return 20 results per page","364","shouldGetCharactersFirstPage()","","2026-05-17","passed","2026-05-17","","api.tests.GraphQlTest","api.tests.GraphQlTest","shouldGetCharactersFirstPage"
"GET /booking?firstname=X returns only entries matching that name","1327","shouldFilterByFirstname()","","2026-05-17","failed","2026-05-17","","api.tests.BookingApiTest","api.tests.BookingApiTest","shouldFilterByFirstname"
"Nested fields across types — episode → characters → name","3658","shouldQueryNestedFieldsEpisodeCharacters()","","2026-05-17","passed","2026-05-17","","api.tests.GraphQlTest","api.tests.GraphQlTest","shouldQueryNestedFieldsEpisodeCharacters"
"GET /booking returns a non-empty list of booking IDs","1126","shouldGetAllBookings()","","2026-05-17","failed","2026-05-17","","api.tests.BookingApiTest","api.tests.BookingApiTest","shouldGetAllBookings"
"Invalid password should return 'Bad credentials'","372","authWithInvalidCredentials(String, String) [2] wrongUser, password123","","2026-05-17","passed","2026-05-17","","api.tests.AuthenticationTest","api.tests.AuthenticationTest","authWithInvalidCredentials"
"Invalid password should return 'Bad credentials'","409","authWithInvalidCredentials(String, String) [1] validUser, wrongPassword","","2026-05-17","passed","2026-05-17","","api.tests.AuthenticationTest","api.tests.AuthenticationTest","authWithInvalidCredentials"
"Query using GraphQL variables (no string interpolation) — character by variable ID","356","shouldQueryUsingGraphQLVariables()","","2026-05-17","passed","2026-05-17","","api.tests.GraphQlTest","api.tests.GraphQlTest","shouldQueryUsingGraphQLVariables"
"POST /booking with invalid date format should be handled gracefully","1144","shouldReturnErrorForInvalidDateFormat()","","2026-05-17","failed","2026-05-17","","api.tests.BookingApiTest","api.tests.BookingApiTest","shouldReturnErrorForInvalidDateFormat"
"POST /booking returns a valid ID","1091","createBookingAndCheckId()","","2026-05-17","failed","2026-05-17","","api.tests.BookingApiTest","api.tests.BookingApiTest","createBookingAndCheckId"
"Pagination offset — page 1 and page 2 must return different character IDs","646","shouldReturnDifferentResultsOnDifferentPages()","","2026-05-17","passed","2026-05-17","","api.tests.GraphQlTest","api.tests.GraphQlTest","shouldReturnDifferentResultsOnDifferentPages"
"Invalid character ID returns HTTP 200 with data.character = null","474","shouldReturnNullForInvalidCharacterId()","","2026-05-17","passed","2026-05-17","","api.tests.GraphQlTest","api.tests.GraphQlTest","shouldReturnNullForInvalidCharacterId"
"Delete a record and verify it no longer appears in the table","2228","shouldDeleteRecord()","","2026-05-17","passed","2026-05-17","","ui.tests.WebTableTest","ui.tests.WebTableTest","shouldDeleteRecord"
"PUT /booking/{id} without token should return 403 Forbidden","1120","shouldFailUpdateWithoutToken()","","2026-05-17","failed","2026-05-17","","api.tests.BookingApiTest","api.tests.BookingApiTest","shouldFailUpdateWithoutToken"
"PUT /booking/{id} with valid token updates all fields","1140","shouldUpdateBookingWithToken()","","2026-05-17","failed","2026-05-17","","api.tests.BookingApiTest","api.tests.BookingApiTest","shouldUpdateBookingWithToken"
"GET /booking/999999999 should return 404 for non-existent booking","402","shouldReturn404ForNonExistentBooking()","","2026-05-17","passed","2026-05-17","","api.tests.BookingApiTest","api.tests.BookingApiTest","shouldReturn404ForNonExistentBooking"
"Malformed query syntax returns errors array; HTTP status may be 200 or 400 depending on server impl","281","shouldReturnErrorForMalformedQuery()","","2026-05-17","passed","2026-05-17","","api.tests.GraphQlTest","api.tests.GraphQlTest","shouldReturnErrorForMalformedQuery"
"GET /booking?checkin=date returns HTTP 200 with a list","1118","shouldFilterByCheckInDate()","","2026-05-17","failed","2026-05-17","","api.tests.BookingApiTest","api.tests.BookingApiTest","shouldFilterByCheckInDate"
"Fill and submit full student registration form, verify success modal appears","32702","shouldSubmitCompleteStudentRegistrationForm()","","2026-05-17","broken","2026-05-17","","ui.tests.FormTest","ui.tests.FormTest","shouldSubmitCompleteStudentRegistrationForm"
"Requesting a non-existent field returns a validation error; status may be 200 or 400","386","shouldReturnValidationErrorForNonExistentField()","","2026-05-17","passed","2026-05-17","","api.tests.GraphQlTest","api.tests.GraphQlTest","shouldReturnValidationErrorForNonExistentField"
